category1,body
Personal,"
			
				You may have visit SHODAN (The IoT search engine) or ZoomEye (World Wide Port Search Engine). The systems are very useful to have a good view of world! 🙂

But they have restriction for seeing results. For example SHODAN lets for unregistered users to view just 1 page (10 results). If you registered, the limitation is 5 pages. But again restriction!
So what to do?

You can view a good article about these type of engines in this link.
But IVRE, the drunk frenchman
IVRE is a python based, open source search engine for ports. But it is just an interface. The main power resists in NMAP. IVRE import the results of nmap and have a good interface.
How to install it?
You may visit the main tutorial provided by IVRE to the most updated instructions!
IVRE has three module. Scanner, Web Interface, Database server. In its very fast and quick guide, it is suggested to install all of them in one machine.
I follow the instructions in this link on a Ubuntu 16.04 virtual machine.
Firstly  install dependencies:
sudo apt-get -y install mongodb python-pymongo python-crypto apache2 dokuwiki
But a small exception is in the above code -> they may forgot to add libapache2-mod-php which is needed to run PHP codes by APACHE2 in dokuwiki. So I add libapache2-mod-php (and also git + nmap) to the packages.
sudo apt-get -y install mongodb python-pymongo python-crypto apache2 dokuwiki libapache2-mod-php git nmap
After that just follow the steps:
$ git clone https://github.com/cea-sec/ivre
$ cd ivre
$ python setup.py build
$ sudo python setup.py install
And configuration of web server:
$ sudo -s
# cd /var/www/html ## or depending on your version /var/www
# rm index.html
# ln -s /usr/local/share/ivre/web/static/* .
# cd /usr/lib/cgi-bin
# ln -s /usr/local/share/ivre/web/cgi-bin/* .
# cd /var/lib/dokuwiki/data/pages
# ln -s /usr/local/share/ivre/dokuwiki/doc
# cd /var/lib/dokuwiki/data/media
# ln -s /usr/local/share/ivre/dokuwiki/media/logo.png
# ln -s /usr/local/share/ivre/dokuwiki/media/doc
# cd /usr/share/dokuwiki
# patch -p0 < /usr/local/share/ivre/dokuwiki/backlinks.patch
# cd /etc/apache2/mods-enabled
# for m in cgi rewrite ; do [ -L $m.load ] || ln -s ../mods-available/$m.load ; done
# cd /usr/local/share/ivre/web/cgi-bin
# sed -i 's/^\(\s*\)#Rewrite/\1Rewrite/' /etc/dokuwiki/apache.conf
# service apache2 reload
# exit
If you want to view the search engine from your local network, you may face the following screen after pressing help.

Just edit /etc/dokuwiki/apache.conf and change the line:

Allow from localhost 127.0.0.1 ::1
to
#Allow from localhost 127.0.0.1 ::1
Allow from all
And Vola!

Database Initialization
And follow the steps from IVRE:
$ ivre scancli --init
This will remove any scan result in your database. Process ? [y/N] y
$ ivre ipinfo --init
This will remove any passive information in your database. Process ? [y/N] y
$ ivre ipdata --init
This will remove any country/AS information in your database. Process ? [y/N] y
$ sudo ivre runscansagentdb --init
This will remove any agent and/or scan in your database and files. Process ? [y/N] y
$ sudo ivre ipdata --download
$ ivre ipdata --import-all --no-update-passive-db
And everything is OK. Just test some random IPs. For example 50 random IPs with 40 nmap processes.
sudo ivre runscans --routable --limit 50 --processes 40
Wait for scan to be finished!
And the result!

			
		"
IoT,"
			
				By means of IoT lots of things can be connected and controlled by Internet such as smart homes. In this small tutorial I will discuss about personal smart home solutions and how to remotely control them. In small word “Control your Home IoT System over TOR” 🙂

Solutions
For making your home smart and IoT there are multiple solutions. Google Home, Amazon Echo, Apple Home Kit, are some of the examples. Beside, open source projects can be used to install smart home equipment such as Hassbian or generally Raspbian.
Installing Raspbian Virtually
Here I will discuss about installing Raspbian virtually. It should be mentioned if you need to install Raspbian you do not need to install it on RaspberriPi, alternately you can install it virtually. But you should use special emulators for running Raspbian, since it is compiled in ARM architecture not in Intel x86 or AMD x64 or etc.
I will follow instructions from azeria labs to install virtual Raspbian on QEMU emulator on Ubuntu 16.04 x64.
Install qemu-system in Ubuntu
sudo apt-get install qemu-system
Installing QEMU Emulator
Download Raspbian and Kernel
Download Raspbian and the kernel for the emulator. For this tutorial I’ve used Raspbian Jessie from this link, QEMU rpi kernel can be downloaded from this link. I’ve downloaded 2017-07-05-raspbian-jessie.zip (Raspbian) and kernel-qemu-4.4.34-jessie (Kernel).
Then unzipped the Raspbian:
$ unzip 2017-07-05-raspbian-jessie.zip.zip

Archive:  2017-07-05-raspbian-jessie.zip
  inflating: 2017-07-05-raspbian-jessie.img

$ fdisk -l 2017-07-05-raspbian-jessie.img

Disk 2017-07-05-raspbian-jessie.img: 4.3 GiB, 4661483520 bytes, 9104460 sectors
Units: sectors of 1 * 512 = 512 bytes
Sector size (logical/physical): 512 bytes / 512 bytes
I/O size (minimum/optimal): 512 bytes / 512 bytes
Disklabel type: dos
Disk identifier: 0x970b8044

Device                          Boot Start     End Sectors  Size Id Type
2017-07-05-raspbian-jessie.img1       8192   93596   85405 41.7M  c W95 FAT32 (LBA)
2017-07-05-raspbian-jessie.img2      94208 9104459 9010252  4.3G 83 Linux

As you see above, (the last line) img2 part start from 94208.  94208 x 512 = 48234496 (bytes).
$ sudo mkdir /mnt/raspbian
$ sudo mount -v -o offset=48234496 -t ext4 2017-07-05-raspbian-jessie.img /mnt/raspbian
$ sudo nano /mnt/raspbian/etc/ld.so.preload
And comment out every line starting with '#'

$ sudo nano /mnt/raspbian/etc/fstab
From Azeria Labs:
IF you see anything with mmcblk0 in fstab, then:

Replace the first entry containing /dev/mmcblk0p1 with /dev/sda1
Replace the second entry containing /dev/mmcblk0p2 with /dev/sda2, save and exit.


Finally unmount the image.
$ sudo umount /mnt/raspbian
And run qemu with the following command:
$ qemu-system-arm -kernel kernel-qemu-4.4.34-jessie -cpu arm1176 -m 256 -M versatilepb
-serial stdio -append ""root=/dev/sda2 rootfstype=ext4 rw"" -hda 2017-07-05-raspbian-jessie.img
-redir tcp:5022::22 -no-reboot

As you will see, the QEMU will start Raspbian. It is just like you’ve write the Raspbian image on sdcard and insert to your RaspberryPi. Now the OS is ready.
Starting the Raspbian:
Booting Raspbian
And vola:
Raspbian Jessie
You can enable ssh using
sudo service ssh start
Then you can connect using
ssh [email protected] -p 5022
Default user is pi and password is raspberry.
SSH to Raspbian
Remote Control Alternatives
For the aim of remote control, there are some scenarios.
1) Using MQTT like protocols. In this scenario, your Smart Home solution is behind NAT and can send data to a public MQTT server (or your private one) but you cannot send and receive massive data such as remote desktop.
2) Opening ports in your router or modem (or somthing like UPNP). But this is risky and you should open direct access to your system.
3) Another alternative to avoid port forwarding, and send large data is using TOR hidden services. It allows to connect to your IoT system indirectly behind NAT.
Installing TOR and Hidden Service on Raspbian
Raspbian is just like debian or ubuntu and its repository is full of ARM compiled software such as TOR. Install TOR on your system using the following command:
$ sudo apt-get install tor
Installing TOR in Raspbian
You may change your time zone and run following command to sych the Raspbian time:
$ sudo sntp -s time.nist.gov
After installing tor, you should config the hidden service. Edit /etc/tor/torrc with nano:
$ sudo nano /etc/tor/torrc
And add the following lines:
HiddenServiceDir /home/pi/Desktop
HiddenServicePort 22 127.0.0.1:22
HiddenServicePort 80 127.0.0.1:6008
And save the file using CTRL+O and then CTRL+X to exit. Then restart tor using sudo service tor restart && tor as follows:
Starting TOR in Raspbian
Now you can find your onion address in /home/pi/Desktop/hostname. It is 16 characters which will be ended with an “.onion”.
SSH
SSH is almost done. Just config your client (outside your network) to connect to onion address:
Install proxy-connect in client:
$ sudo apt-get install proxy-connect
and change the /etc/ssh/ssh_config file and add the following lines:
Host *.onion
    ProxyCommand connect -S localhost:9050 %h %p
save the file and enjoy using SSH over TOR. In my case:
ssh [email protected]
Everything is OK. I can connect from everywhere to my home IoT Server.
Connected to my IoT Server over TOR
In my next post I will describe the remote desktop access to Raspbian. 🙂
			
		"
Cryptography,"
			
				In “Encrypting Emails using PGP/GPG”, I have described how to configure GPG (PGP) + Enigmail + Thunderbird for sending signed and encrypted emails. But the inner process of PGP is not described. In this post, I will describe how PGP works and the emulation process of PGP will be covered by the nice cryptography tool named cryptoolv2.
PGP

What is PGP: A Brief Introduction
Symmetric encryption is very good and have good performance/speed in encryption/decryption. But the main problem is in transferring keys between the Alice and Bob. Alice and Bob are two characters whom want to send encrypted messages to each other and is commonly used names in cryptographic systems. For more information check the Alice and Bob.
In other side, the power of asymmetric encryption is considerable. Every participant has two keys: the public key (e) which is accessible by everyone in the system and the private key (d) which is only accessible for the participant. One of the major abilities of this cryptography system is that the key transfer is very easy, because of the public key. Beside its abilities, it lags in encryption/decryption of large amount of data. If you want to know more about asymmetric encryption/decryption and the meaning of signature (encrypting with private key) and encryption (encrypting with public key), check Public-key cryptography.
PGP stands for Pretty Good Privacy which uses the power of asymmetric and symmetric encryption. Symmetric encryption lacks in key transfer which can be transferred by asymmetric encryption. The key size is not large in comparison of data which is going to be encrypted/decrypted.
So the system is OK. Encrypt the content with a random symmetric key (K). Sign and encrypt K with sender’s private key and receiver’s public key. The system is depicted in below but in the figure, sender does not sign the K, just encrypts with the receiver’s public key.
PGP Overall System
Cryptool
Cryptool is a nice GUI based tool for testing and learning cryptography. I’ve used version 2 of the program which can be run in Microsoft Windows. The tool is accessible from  cryptoolv2. The following picture shows a screenshot of the program in action.
Cryptool v2
PGP in Cryptool
I have configured the PGP protocol in cryptool and add signature and encryption for the system. The first picture shows the overall system and process.
PGP Overall System
The following picture shows the detailed work of each part. It should be noticed that there are some elements in the figure which RSA stands for asymmetric encryption/decryption system, AES for symmetric encryption/decryption and key generator for generating private and public keys.
PGP Detailed
The final picture shows the system in action. As shown, the decrypted message is the same as the plain text message (“Hello World!“).
PGP in Action
The project is attached in the following file. You may download and test the file as you like in cryptool v2.
download link
			
		"
Cryptography,"
			
				I have a workshop titled “Introduction to Cryptography and PGP” at Urmia University of Technology. I talked about basic concepts of signature and encryption using asymmetric cryptography. Then I talked about PGP which is one of the main usages of this system. I followed the workshop with configuring Thunderbird and GPG4win for applying PGP in Email system. You may find the contents in my previous post about GPG in Thunderbird and the way PGP works.
The pictures of this session is here.

Introduction to Cryptography and PGP 1
Introduction to Cryptography and PGP 2
Introduction to Cryptography and PGP 3
Introduction to Cryptography and PGP 4
Introduction to Cryptography and PGP 5
Introduction to Cryptography and PGP 6
Other sessions or information can be noticed from UUT Computer Society’s Telegram channel.
			
		"
Tutorial,"
			
				Last Wednesday, I have a small talk about SQLi web application vulnerability and how to prevent it. Here, I write about the tools and resources which can be used in learning the SQLi learning and prevention.
SQLi Session

The one of the best resources for learning lies in practicing. Practice make perfect. Therefore, penetration the vulnerable web application will make the learning much easier. Damn Vulnerable Web Application (DVWA) is one the vulnerable web applications for learning why and how the applications gets the vulnerabilities.
Some of sample injections tests on the special VM I’ve created for this session is below:
SQLi 1
SQLi 2
SQLi 3
The other tools are for dynamically analyzing web application:
SqlMap
noSQLMap
SQLiv
Grryfin
I also talked about how to statically analyze the web application. I’ve introduced RIPS which is the one of the most powerful frameworks for finding bugs in web application. The following image is a screenshot of RIPS scanner for DVWA 1.9.
SQLi RIPS
Also the Web Application Firewalls (WAFs) will help web servers before passing the user input to the vulnerable web application such as ModSecurity which can be handle user input along with Apache, and other WAFs …
In the end the session ended with some fun. 🙂
You may follow the sessions from UUT CEIT group:
UUT CEIT Instagram
UUT CEIT Telegram Channel
or in their web site at UUTidev
SQLi and Prevention Session
			
		"
Academic,"
			
													 Onion Address, Onion Harvester, Tor
							

		"
Media,"
			
				You may be like to collect and watch movies, TV series, or music archives. Then you have to store them in your storage ([External] Hard drives, NAS, …) and use some software to manage them.
However the scenario sounds good but there are other great ways to turn your home network to a full capable media center. Read more to learn how to configure and change your home network to media center.

As mentioned above you can use software solutions such as Ember Media Manager, Tiny Movie Manager for movies or MusicBrainz Picard for music.
Possible Media Sources
In your home network there may be some media sources such as:

NAS: Network shared NAS storage which contains your media.
Shared Folder: Windows (or *nix) shared folder containing your media.
Network Stream: Which streams your media over network.
USB: Media on a USB stick
External Hard: same as USB sticks

So there is a solution named OSMC (Open Source Media Center) which turns your TV (smart TV) to a media center.
What you Need

RaspberryPi (Visit this link)
MicroSD card (Visit this link)
USB stick or hard drives (You can buy everywhere!)
Probably a NAS (Visit this link)

Installing OSMC
Firstly you need to download OSMC installer and OS for your desired device. In our case we want to install it on RaspberryPi 2/3.
Link for downloader and OS (Last release while writing this post). You should put your microsd to your PC and run the installer. You may follow this video for details.
So great! Now you have your OSMC installed. It is recommended to use wired network to connect your RaspberryPi (also work with specific wireless dongles).
Configure OSMC

Insert OSMC installed microsd card to RaspberryPi
Plug your network cable to RaspberryPi
Connect your TV to RaspberryPi through HDMI
Plug your RaspberryPi power source

You should now see the OSMC in TV screen. For first run it takes some times to boot.
After it you may configure the first parameters. By default the SSH is enabled in OSMC. Now its time to do some advanced configuration.
Connect Your NAS (or Windows share)
You can mount NAS folders temporary or permanently.
Temporary
Login through SSH:
mount -t cifs -o username=<share user>,password=<share password> //WIN_PC_IP/<share name> /mnt

In this example the //WIN_PC_IP/<share name> to /mnt folder. Then you should add a video source to /mnt folder in OSMC. Visit this link.
Permanently
Login through SSH:
If you want to mount it permanently, add following line to your OSMC in /etc/fstab
//WIN_PC_IP/<share name>/ /mnt cifs noauto,x-systemd.automount,username=<share name>,password=<share password>,uid=1000,gid=1000,iocharset=utf8 0 0
which will mount your share to /mnt each time OSMC boots up. You have previously added /mnt as video source, so it will be displayed in Videos. OSMC will do search your folders for movies and download metadata using IMDB or other sources.
Connect Your USB
When connect your USB, OSMC will mount it automatically. But be aware, if an icon appeared in top right corner, it means that there is not enough power to supply your USB.
Play network stream
You may stream videos through your network. Here is a tutorial to stream using VLC. However, I myself prefer RTSP more than HTTP.
For playing it using OSMC, do the following:

Login to OSMC using SSH
Create a txt file where you want (I suggest to make it under /home/osmc/ for example /home/osmc/Live/Stream.strm)
Paste the address of stream in it and save it:
http://host:port/path/stream


or

mms://host:port/path/stream


or

rtsp://host:port/path/stream



Add the folder (/home/osmc/Live) as a video source and play the .strm file in OSMC after streaming video through your network. That’s it 🙂
You may check the following sources for more information:

There is a very complete guide on RaspberryPi in this link.
Also there is a video tutorial by Lynda in this link.

			
		"
Academic,"
			
				You may sometimes get bored with MS Word of (rarely) LibreOffice Writer. There is another document editor which is more likely to programming! LATEX!
In this tutorial I will show how to install LATEX in windows with TexStudio editor, step by step with pictures.

Configuring LATEX for Persian Text
Steps:

Download and install Miktex
Download and install TexStudio
Download and install Persian fonts
Start a new document with XePersian packages
Compile the document with XeTex

 
Download and install Miktex
For the first step you should download Miktex from the main repository and install it on your system. I suggest to install for your account and choose the default directories for installation.
So start the installer:
    
You may face such error in the last steps. It is all right. The fix is here:
Miktex has some fndb databases (4 files) which should be deleted and the installer fails to delete them. You can delete them manually. The folder is here (if you do not changed the default directories in installation):
%appdata%\Local\MiKTeX\2.9\miktex\data\le
After removal, execute miktex update in here:
%appdata%\Programs\MiKTeX 2.9\miktex\bin\x64\internal\miktex-update.exe
  
Miktex will select which packages needed to be updated. Just update them.
Miktex is installed successfully! 🙂
 
Download and install TexStudio
Among the document editors I prefer TexStudio. I’ve tested followings:

TexMaker Second best one!
Notepad++ LATEX template. A good tutorial is this link.
lyX Graphical LATEX editor

Find the Comparison of TeX editors.
But the steps to install TexStudio is quiet easy:
  
After installing you can run the TexStudio  and write your first document! It will work with no errors. But if you want to use XePersian for Farsi text, You should do more steps.
 
Download and install Persian fonts
The fons are started with XB => XB Yas, XB Zar, etc
You may download the fonts where you want but this link provides good fonts.

Download the fonts you want and install to windows fonts directory.
 
Start a new document with XePersian packages
Just start TexStudio and create a new document.
Basic commands for XePersian are:

\documentclass{article}
\usespackage{xepersian}
\settextfont{XB Niloofar}
\begin{document}
سلام دنیا!
\end{document}

If you just click F6 (compile command) in TexStudio it will ask you for download permission of extra packages.

 
Compile the document with XeTex
After downloading all necessary packages, you may face another problem like below:

XePersian uses XeTex for compile. So you should use following compiler in TexStudio:
Tools => Commands => XeLaTex
It will compile correctly! And if you to permanently change the compiler, do as below:
Options => Configure TexStudio => Build tab => XeLaTex as the default compiler

Everything is OK now! Happy XePersianning 🙂

			
		"
Academic,"
			
				I like to play with VirtualBox. So in this post I will show you how to install Kali Linux on a USB disk with VirtualBox which can be run both on VirtualBox and directly bootable.

Every change you made with VirtualBox (or direct access) will be stored on USB and can be accessed with Direct Access (or VirtualBox). It is awesome to use VirtualBox when you want to work beside another OS. And also awesome when you want to boot directly from Physical Computer.
The steps are very easy:

Create a virtual hard drive pointing to the USB.
Install Kali in VirtualBox as usual.
The disk is ready!

 
Requirements to Installing Kali Linux on USB
First of all you should download Kali Linux ISO from this link. Next download and install VirtualBox from this link.
Here you go. It is ready to fire!
 
Create a virtual hard drive
Here we are going to create a virtual disk (VMDK) that points to a physical drive. All the data is written in the physical drive and VirtualBox can directly access it.

Create a terminal (or command prompt) with administrative privileges.
Go to VirtualBox installation Directory

If you are on Linux or MAC it is not necessary, but if you’re running Windows, you should do this step: C:\Program Files\Oracle\VirtualBox


Attach your USB and find its physical driver number.

On windows goto Disk Management and find the Disk Number (As an example Disk1 refers to your USB, so the number is 1)


Create Virtual Drive with the following command:

For Windows
VBoxManage internalcommands createrawvmdk -filename ""C:\Users\<user_name>\VirtualBox VMs\<VM_folder_name>\<file_name>.vmdk"" -rawdisk \\.\PhysicalDrive#
For Linux:
VBoxManage internalcommands createrawvmdk -filename ""</path/to/file>.vmdk"" -rawdisk /dev/sda
For Mac OS X:
VBoxManage internalcommands createrawvmdk -filename ""</path/to/file>.vmdk"" -rawdisk /dev/disk#



# sign is the disk number. Step 4 credits go to this link .
 
Install Kali in VirtualBox
This step is easy. You should start VirtualBox with administrative privileges. The only point is that attach created virtual disk to the new virtual machine as below:

Then start the virtual machine. It will ask to attach Kali ISO.
After attaching Kali ISO image, every thing is the default installation of Kali. Here are some screen shots from my installation:
    
That’s it. You may like to boot with real computer or with your VirtualBox.
			
		"
Library,"
			
				Library and Book management is one of my favorite hobbies. I like to categorize (e)books, Albums, and Movies. It is more better if the contents are in my profession, IT!
Recently I and two of my students, have managed lots of IT Ebooks which I am going to tell it’s story.

Each electronic collection is made up 3 main steps:

Crawling the content
Purifying the content
Add more information to the content

Crawling the Content
For crawling the Elibrary content, I’ve choose ALLITEBOOKS.com which is a very up to date and has lots of IT ebooks. Mohammad Niazmandan and Alireza Shams, two of my students in Information Retrieval course, worked on crawling and downloading the content. After crawling 6545 ebooks and their metadata has been downloaded. The total size of the ebooks is 94.7 GB.

Purifying the Content
After having the books, it is turn of purifying the content. Calibre is one of my favorite library managers! It is Open Source, free, Python based and multi platform! Here is a shot from my calibre:
For purifying the content, firstly I’ve made a simple HTML parser to grab ISBN and tags from AllITEbooks book detail pages. Then add them to my calibre library using command line:
calibredb add --isbn ISBN_Of_The_Book --tags ""TAG1,TAG2,TAG3""  THE_BOOK.pdf
This will add all the books with ISBN and tags metadata to calibre.
Add More Information to the Content
Till now all the books are added to calibre and are pretty good! But having more meta data and details are appreciated. Thanks again Kovid Goyal for the Bulk Metadata Update feature of the calibre. It works nice but sometimes have problem with file names, specially when the title comes with #, ++ or etc. It is common in IT and Computers, for example Learning C#. So I decided to add the ebooks with only ISBN which always works.
The only step is to update calibre with Auto Meta Data. That’s All!
			
		"
AndroJava,"
			
				In this post I wanted to demonstrate a simple code injection example in Android. As indicated in previous  posts about reversing java, the method of code execution is same in Android. Whereas Java, the BYTE CODE are SMALI codes here and the executor is Dalvik (recently ART) in Android (not JVM). Here in this post, I will describe shortly how to reverse and inject code in SMALI.
The main steps for code injection are:

Decompile APK to Smali Code
Find the right place to inject the code
Use safe (or unsafe) local variables to inject
Recompile the Smali Code to APK
Generate Signature Key
Sign the Recompiled APK

Decompile APK to Smali Code
Using the tool named APK Tool you can easily decompile APK to its elements. Actually APK is a ZIP compressed file. Which contains Manifest (permissions, activities, services, etc.), all source codes compiled inside DEX (classes.dex), resources (all images, xml elements of UI, sounds, etc.), Libraries (generally native ones), META-INF (public key of the signature).

You can download apk tool from this link. Using the following command you can get the APK decompiled.
java -jar apktool.jar d YOUR_APK.apk
Find right place to inject the code
After successful decompilation, a folder will be generated beside the APK. There is a folder named smali there which contains all the classes inside the main DEX file. All of the classes are in Smali format over there. You can use each of them for injecting the code. Smali is the code like here:

In the above example, I put a simple Toast message after the setContentView() method of an Activity.
For making the smali code you can use two methods:

Use smali code instructions. You can use this link for more details.
TRICK: Write your code in a separate Android project and make its APK. The use apktool for finding out the smali code of your {injection} code!

 Use safe (or unsafe) local variables to inject
As you see in the above example, I have used v1,v2,v3, … for smali code injection.  are the local variables. Android has 16 registers for this purpose which contains the inside the class variables (v) and the parameters (p) of the method we are injecting inside. for example onCreate has two parameters (p0 for this, p1 for Bundle) and some variables (vs). You should use vs for your purpose while do not compromise other vs. If you can add extra locals to your file, then you can use safe variables, if not you should use the defined local variables without compromise other variables.
Recompile the Smali Code to APK
If the injection is correct, you can use the following command to recompile the injected code.
java -jar apktool.jar b THE_DECOMPILED_FOLDER
This will generate an APK inside THE_DECOMPILED_FOLDER/dist folder.
Generate Signature Key
Sign the Recompiled APK

			
		"
Academic,"
			
				In the next weeks, two sessions about web application vulnerabilities and Android Analysis and Code Injection will be held at Urmia University CERT.
You may register to the event through its registration link HERE.
Details about the sessions are in posters.

			
		"
Academic,"
			
				PGP (Pretty Good Privacy) is a protocol for encryption and authentication of files and emails. In this tutorial I want to show how to create encrypted and signed emails using GPG (GnuPG), Thunderbird (Email Client), and Enigmail (Connector). I used windows as test case which the steps are same for *nix systems.
There are three steps:

Installing GPG
Installing and configuring Thunderbird
Installing and configuring Enigmail
Send public keys to each other

Installing GPG
Get GPG application from GPG4win. If you are on Linux (Debian based ones), you can install it by following commad:
sudo apt-get install gnupg2
The steps are shown by images below:

Installing and configuring Thunderbird
You can install Thunderbird from their main site. Thunderbird is the default mail client in Linux systems.
Now you must add your email to Thunderbird using SMTP/IMAP (or POP3). I personally prefer IMAP which it has lots of features! Also SSL/TLS/STARTTLS support is appreciated. If your email is ftype of known emails, Thunderbird can automatically find it (ex. Gmail, Ymail, Outlook, etc) from Mozilla Email Database. If not, you may enter the SMTP and IMAP/POP3 connection information which can be get from your email provider. If SSL/TLS has self signed certificate, then you may check and accept it.

Installing and configuring Enigmail
After configuring Thunderbird, you should install Enigmail addon in Thunderbird which can be installed through Tools -> Add Ons -> enter Enigmail in search box.
After restarting Thunderbird, Enigmail starts its configuration. You should enter a password which is used for encryption and decryption of emails. And a revocation certificate is needed for when you lost your password or when you want to revoke it.
CAUTION: IF YOU LOST YOUR PASSWORD OR YOUR PRIVATE KEY, ALL EMAILS WHICH IS ENCRYPTED BY OTHERS CAN NOT BE RECOVERED!
      
Send public keys to each other
The final step is sending public keys of contacts to each other and mark each others public key as trusted. If you use Enigmail for the first time, it will ask you how to encrypt (sign) the message. I prefer to sign whole the message. Another point is that if you just sign Emails, the recipient will be sure that you have send it. But if you have recipients public key, you can both sign and encrypt the message. If you encrypt Emails, the email provider can not see your Email’s body part, but SUBJECT is still visible.
     
			
		"
